Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
300, 7652.000000, 7798.000000, 15961.000000, 1073, 865, 293
301, 7230.000000, 7376.000000, 15280.000000, 1076, 948, 293
302, 8775.000000, 8924.000000, 6029.000000, 13398, 938, 297
303, 7517.000000, 7665.000000, 15744.000000, 1060, 885, 297
304, 2599.000000, 2746.000000, 6024.000000, 1085, 955, 294
305, 8307.000000, 8454.000000, 7583.000000, 12410, 1689, 293
306, 8771.000000, 8916.000000, 5917.000000, 13348, 861, 290
307, 8809.000000, 8956.000000, 5984.000000, 13417, 891, 293
308, 7123.000000, 7269.000000, 14909.000000, 1073, 868, 293
309, 8686.000000, 8833.000000, 5952.000000, 13149, 864, 294
310, 7505.000000, 7651.000000, 15604.000000, 1142, 868, 293
311, 7380.000000, 7527.000000, 15403.000000, 1073, 858, 294
312, 7528.000000, 7673.000000, 15727.000000, 1077, 874, 290
313, 8765.000000, 8913.000000, 5941.000000, 13338, 874, 296
314, 8661.000000, 8809.000000, 5969.000000, 13087, 867, 296
315, 8609.000000, 8756.000000, 5937.000000, 13017, 868, 294
316, 8218.000000, 8363.000000, 5887.000000, 12299, 875, 291
317, 8757.000000, 8904.000000, 5934.000000, 13303, 861, 293
318, 7279.000000, 7426.000000, 15240.000000, 1067, 874, 294
319, 8766.000000, 8913.000000, 5980.000000, 13269, 858, 293
320, 7182.000000, 7327.000000, 15101.000000, 1086, 911, 290
321, 2781.000000, 2928.000000, -4294934670.000000, 1129, 14096, 294
322, 7187.000000, 7334.000000, 15078.000000, 1066, 885, 294
323, 8668.000000, 8815.000000, 5917.000000, 13134, 857, 293
324, 7255.000000, 7402.000000, 15138.000000, 1089, 858, 294
325, 8676.000000, 8822.000000, 6033.000000, 13070, 875, 291
326, 7434.000000, 7581.000000, 15540.000000, 1079, 875, 293
327, 7302.000000, 7450.000000, 15269.000000, 1057, 861, 297
328, 7253.000000, 7400.000000, 15197.000000, 1086, 888, 293
329, 8639.000000, 8786.000000, 5959.000000, 13061, 871, 294
330, 8517.000000, 8663.000000, 5929.000000, 12813, 854, 293
331, 8799.000000, 8946.000000, 5913.000000, 13414, 864, 293
332, 7274.000000, 7424.000000, 15224.000000, 1079, 877, 300
333, 7560.000000, 7707.000000, 15777.000000, 1057, 857, 294
334, 8675.000000, 8820.000000, 5965.000000, 13134, 874, 290
335, 7531.000000, 7678.000000, 15776.000000, 1082, 898, 294
336, 7425.000000, 7572.000000, 15670.000000, 1076, 948, 294
337, 2244.000000, 2391.000000, -4294934641.000000, 66, 14116, 294
338, 7595.000000, 7741.000000, 15870.000000, 1076, 878, 293
339, 7204.000000, 7353.000000, 15160.000000, 1051, 901, 297
340, 7911.000000, 8058.000000, 16494.000000, 1076, 874, 294
341, 8921.000000, 9068.000000, 5957.000000, 13633, 874, 294
342, 7297.000000, 7444.000000, 15232.000000, 1076, 857, 294
343, 8778.000000, 8926.000000, 5961.000000, 13357, 881, 296
344, 8771.000000, 8918.000000, 5923.000000, 13410, 895, 293
345, 8665.000000, 8811.000000, 5961.000000, 13143, 887, 293
346, 7139.000000, 7286.000000, 14964.000000, 1129, 907, 294
347, 7349.000000, 7497.000000, 15275.000000, 1158, 867, 296
348, 7326.000000, 7473.000000, 15287.000000, 1088, 861, 294
349, 8683.000000, 8830.000000, 5951.000000, 13158, 871, 294
350, 8759.000000, 8906.000000, 5970.000000, 13279, 865, 293
351, 7376.000000, 7526.000000, 15462.000000, 1047, 878, 300
352, 8737.000000, 8884.000000, 5918.000000, 13359, 901, 294
353, 8171.000000, 8318.000000, 8119.000000, 12167, 1972, 294
354, 7662.000000, 7810.000000, 16021.000000, 1073, 885, 296
355, 7561.000000, 7706.000000, 15783.000000, 1067, 864, 290
356, 7352.000000, 7500.000000, 15354.000000, 1072, 861, 297
357, 7661.000000, 7811.000000, 16061.000000, 1057, 898, 300
358, 7476.000000, 7625.000000, 15642.000000, 1073, 881, 297
359, 7241.000000, 7388.000000, 15134.000000, 1076, 864, 294
360, 7346.000000, 7492.000000, 15333.000000, 1101, 871, 293
361, 8374.000000, 8521.000000, 17415.000000, 1076, 871, 294
362, 7478.000000, 7623.000000, 15645.000000, 1079, 884, 290
363, 7407.000000, 7554.000000, 15505.000000, 1066, 878, 294
364, 2617.000000, 2764.000000, 5949.000000, 1073, 894, 294
365, 7314.000000, 7461.000000, 15255.000000, 1095, 861, 294
366, 7628.000000, 7776.000000, 15917.000000, 1061, 861, 296
367, 8722.000000, 8870.000000, 5956.000000, 13218, 865, 297
368, 7673.000000, 7819.000000, 16041.000000, 1073, 884, 293
369, 8583.000000, 8728.000000, 7714.000000, 12923, 1735, 290
370, 8598.000000, 8745.000000, 5942.000000, 12983, 864, 293
371, 8157.000000, 8304.000000, 16992.000000, 1073, 875, 293
372, 7244.000000, 7392.000000, 15128.000000, 1088, 864, 297
373, 8646.000000, 8791.000000, 5963.000000, 13071, 871, 290
374, 7355.000000, 7500.000000, 15423.000000, 1070, 891, 290
375, 7261.000000, 7410.000000, 15212.000000, 1079, 884, 297
376, 8739.000000, 8886.000000, 5925.000000, 13310, 878, 293
377, 8780.000000, 8928.000000, 5975.000000, 13319, 867, 297
378, 7218.000000, 7363.000000, 15109.000000, 1082, 877, 290
379, 7480.000000, 7627.000000, 15671.000000, 1066, 888, 294
380, 8642.000000, 8789.000000, 5849.000000, 13150, 857, 293
381, 7348.000000, 7497.000000, 15409.000000, 1070, 891, 297
382, 7510.000000, 7657.000000, 15673.000000, 1082, 867, 294
383, 8672.000000, 8818.000000, 5977.000000, 13115, 874, 293
384, 8716.000000, 8865.000000, 5898.000000, 13303, 884, 297
385, 2425.000000, 2570.000000, -4294946628.000000, 12995, 14406, 290
386, 8699.000000, 8845.000000, 5968.000000, 13212, 891, 293
387, 7083.000000, 7229.000000, 15052.000000, 1057, 971, 291
388, 7445.000000, 7592.000000, 15543.000000, 1082, 867, 294
389, 8768.000000, 8917.000000, 5951.000000, 13334, 874, 297
390, 8852.000000, 8998.000000, 5970.000000, 13451, 858, 291
391, 7478.000000, 7624.000000, 15631.000000, 1061, 868, 293
392, 8547.000000, 8693.000000, 5877.000000, 12979, 881, 293
393, 7355.000000, 7501.000000, 15392.000000, 1048, 865, 293
394, 7202.000000, 7349.000000, 15131.000000, 1076, 901, 293
395, 7275.000000, 7422.000000, 15246.000000, 1066, 881, 294
396, 7310.000000, 7457.000000, 15277.000000, 1092, 874, 293
397, 8753.000000, 8902.000000, 5930.000000, 13319, 871, 297
